dominant_dictionary_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
financial_risk,FANG,2018Q3,3,0,0,126,0.023809524,0
financial_risk,FANG,2018Q4,1,0,0,143,0.006993007,0
financial_risk,FANG,2019Q1,1,0,0,140,0.007142857,0
financial_risk,FANG,2019Q2,1,0,0,154,0.006493506,0
financial_risk,FANG,2019Q4,1,0,0,172,0.005813953,0
financial_risk,FANG,2020Q1,2,-0.5,-1,213,0.009389671,-0.009389671
financial_risk,FANG,2020Q2,3,0.333333333,1,190,0.015789474,0.015789474
financial_risk,FANG,2020Q3,2,-1.5,-3,144,0.013888889,-0.041666667
financial_risk,FANG,2020Q4,2,-0.5,-1,180,0.011111111,-0.011111111
financial_risk,FANG,2021Q4,2,0,0,164,0.012195122,0
financial_risk,FANG,2022Q1,1,0,0,150,0.006666667,0
financial_risk,FANG,2022Q3,1,0,0,103,0.009708738,0
financial_risk,FANG,2023Q2,2,0,0,212,0.009433962,0
financial_risk,FANG,2024Q3,3,0,0,163,0.018404908,0
financial_risk,FANG,2024Q4,3,0.333333333,1,146,0.020547945,0.020547945
financial_risk,GDP,2016Q1,1,-2,-2,88,0.011363636,-0.022727273
financial_risk,GDP,2016Q2,1,1,1,90,0.011111111,0.011111111
financial_risk,HAL,2009Q3,1,1,1,27,0.037037037,0.037037037
financial_risk,HAL,2010Q1,2,0.5,1,25,0.08,0.08
financial_risk,HAL,2010Q2,4,-0.25,-1,55,0.072727273,-0.072727273
financial_risk,HAL,2010Q3,2,0.5,1,92,0.02173913,0.02173913
financial_risk,HAL,2010Q4,2,-1,-2,41,0.048780488,-0.097560976
financial_risk,HAL,2011Q1,1,2,2,39,0.025641026,0.051282051
financial_risk,HAL,2011Q2,3,0.666666667,2,35,0.085714286,0.171428571
financial_risk,HAL,2011Q4,2,0,0,38,0.052631579,0
financial_risk,HAL,2012Q2,1,1,1,35,0.028571429,0.028571429
financial_risk,HAL,2013Q1,2,-1,-2,68,0.029411765,-0.058823529
