dominant_LDA_topic,ticker,quarter,total_mentions,avg_sentiment,sum_sentiment,quarter_total_mentions,mention_percentage,weighted_sentiment
3,HAL,2017Q3,4,0.5,2,112,0.035714286,0.071428571
3,HAL,2017Q4,2,-0.5,-1,125,0.016,-0.016
3,HAL,2018Q1,5,0.2,1,94,0.053191489,0.053191489
3,HAL,2018Q2,2,0.5,1,130,0.015384615,0.015384615
3,HAL,2018Q3,5,-1.2,-6,126,0.03968254,-0.238095238
3,HAL,2018Q4,2,0,0,143,0.013986014,0
3,HAL,2019Q1,4,-0.75,-3,140,0.028571429,-0.085714286
3,HAL,2019Q2,8,0.5,4,154,0.051948052,0.207792208
3,HAL,2019Q3,7,0.428571429,3,157,0.044585987,0.133757962
3,HAL,2019Q4,6,-0.333333333,-2,172,0.034883721,-0.069767442
3,HAL,2020Q1,5,0.4,2,213,0.023474178,0.046948357
3,HAL,2020Q2,13,-0.846153846,-11,190,0.068421053,-0.752631579
3,HAL,2020Q3,4,0.75,3,144,0.027777778,0.083333333
3,HAL,2020Q4,4,-1.25,-5,180,0.022222222,-0.111111111
3,HAL,2021Q1,5,1.4,7,215,0.023255814,0.162790698
3,HAL,2021Q2,3,-0.333333333,-1,193,0.015544041,-0.015544041
3,HAL,2021Q3,13,0.461538462,6,216,0.060185185,0.361111111
3,HAL,2021Q4,2,1.5,3,164,0.012195122,0.036585366
3,HAL,2022Q1,3,-0.666666667,-2,150,0.02,-0.04
3,HAL,2022Q2,10,0.3,3,131,0.076335878,0.229007634
3,HAL,2022Q3,1,2,2,103,0.009708738,0.019417476
3,HAL,2022Q4,1,2,2,153,0.006535948,0.013071895
3,HAL,2023Q1,4,1,4,151,0.026490066,0.105960265
3,HAL,2024Q4,1,2,2,146,0.006849315,0.01369863
3,HESM,2014Q3,1,2,2,39,0.025641026,0.051282051
3,HESM,2023Q4,1,2,2,130,0.007692308,0.015384615
3,HESM,2024Q3,3,1.666666667,5,163,0.018404908,0.09202454
3,HESM,2024Q4,2,0.5,1,146,0.01369863,0.01369863
3,HLX,2012Q4,1,1,1,45,0.022222222,0.022222222
3,HLX,2017Q4,1,-1,-1,125,0.008,-0.008
3,HLX,2024Q4,1,0,0,146,0.006849315,0
3,HP,1998Q2,1,0,0,3,0.333333333,0
3,HP,1999Q2,1,0,0,6,0.166666667,0
3,HP,1999Q3,1,0,0,14,0.071428571,0
3,HP,2000Q2,1,0,0,10,0.1,0
3,HP,2000Q3,1,0,0,8,0.125,0
3,HP,2001Q1,2,0,0,22,0.090909091,0
3,HP,2001Q3,1,0,0,10,0.1,0
3,HP,2001Q4,1,0,0,12,0.083333333,0
3,HP,2002Q1,6,0,0,32,0.1875,0
3,HP,2002Q4,1,0,0,9,0.111111111,0
3,HP,2003Q4,1,0,0,11,0.090909091,0
3,HP,2004Q1,2,-0.5,-1,19,0.105263158,-0.105263158
3,HP,2004Q3,2,0,0,14,0.142857143,0
3,HP,2004Q4,2,0,0,12,0.166666667,0
3,HP,2005Q1,2,0,0,17,0.117647059,0
3,HP,2005Q2,3,0,0,18,0.166666667,0
3,HP,2006Q3,1,0,0,18,0.055555556,0
3,HP,2006Q4,1,0,0,10,0.1,0
3,HP,2007Q3,1,0,0,12,0.083333333,0
3,HP,2008Q1,1,0,0,10,0.1,0
3,HP,2008Q3,2,0,0,8,0.25,0
3,HP,2008Q4,1,0,0,18,0.055555556,0
3,HP,2009Q1,2,-0.5,-1,19,0.105263158,-0.105263158
3,HP,2009Q2,2,0,0,15,0.133333333,0
3,HP,2009Q3,1,1,1,27,0.037037037,0.037037037
3,HP,2009Q4,1,0,0,32,0.03125,0
3,HP,2010Q1,5,-0.2,-1,25,0.2,-0.2
3,HP,2010Q2,3,-0.333333333,-1,55,0.054545455,-0.054545455
3,HP,2010Q3,15,-0.333333333,-5,92,0.163043478,-0.815217391
3,HP,2010Q4,5,0,0,41,0.12195122,0
3,HP,2011Q1,2,0,0,39,0.051282051,0
3,HP,2011Q2,2,0,0,35,0.057142857,0
3,HP,2011Q3,2,0,0,28,0.071428571,0
3,HP,2011Q4,3,0,0,38,0.078947368,0
3,HP,2012Q2,2,0,0,35,0.057142857,0
3,HP,2012Q3,4,0,0,54,0.074074074,0
3,HP,2012Q4,3,0,0,45,0.066666667,0
3,HP,2013Q1,3,0,0,68,0.044117647,0
3,HP,2013Q2,3,-0.333333333,-1,47,0.063829787,-0.063829787
3,HP,2013Q3,1,0,0,55,0.018181818,0
3,HP,2013Q4,5,0,0,41,0.12195122,0
3,HP,2014Q1,2,0,0,29,0.068965517,0
3,HP,2014Q2,1,0,0,38,0.026315789,0
3,HP,2014Q3,1,0,0,39,0.025641026,0
3,HP,2015Q2,2,0,0,59,0.033898305,0
3,HP,2015Q3,7,-0.142857143,-1,95,0.073684211,-0.073684211
3,HP,2015Q4,4,-0.25,-1,74,0.054054054,-0.054054054
3,HP,2016Q1,3,0,0,88,0.034090909,0
3,HP,2016Q2,7,0,0,90,0.077777778,0
3,HP,2016Q3,5,0,0,88,0.056818182,0
