dominant_dictionary_topic,dominant_LDA_topic,ticker,quarter,total_mentions,avg_market_impact,sum_market_impact,quarter_total_mentions,mention_percentage,weighted_market_impact
demand_side,2,HP,2006Q4,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2010Q1,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2010Q2,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2010Q3,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2012Q3,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,2,HP,2012Q4,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2013Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,HP,2015Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,HP,2015Q4,2,0.0,0.0,2,1.0,0.0
demand_side,2,HP,2016Q2,4,0.0,0.0,4,1.0,0.0
demand_side,2,HP,2016Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,HP,2017Q1,1,0.0,0.0,2,0.5,0.0
demand_side,2,HP,2018Q1,1,0.0,0.0,1,1.0,0.0
demand_side,2,HP,2018Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,HP,2019Q4,2,0.0,0.0,3,0.6666666666666666,0.0
demand_side,2,HP,2020Q2,1,0.0,0.0,2,0.5,0.0
demand_side,2,HP,2023Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,HP,2023Q4,1,0.0,0.0,2,0.5,0.0
demand_side,2,HP,2024Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,NE,2017Q1,1,0.0,0.0,2,0.5,0.0
demand_side,2,NES,2016Q4,1,0.0,0.0,1,1.0,0.0
demand_side,2,NEX,2008Q4,1,0.0,0.0,1,1.0,0.0
demand_side,2,NEX,2023Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,PTEN,2024Q4,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,2,RIG,2018Q4,2,1.5,3.0,5,0.4,1.2000000000000002
demand_side,2,SLB,2018Q4,1,-1.0,-1.0,5,0.2,-0.2
demand_side,2,SLB,2021Q2,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,2,SLB,2023Q3,1,1.0,1.0,3,0.3333333333333333,0.3333333333333333
demand_side,2,SLB,2024Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,STR,2013Q3,1,0.0,0.0,2,0.5,0.0
demand_side,2,STR,2024Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,2,VOC,2021Q1,1,0.0,0.0,5,0.2,0.0
demand_side,2,VOC,2021Q4,1,0.0,0.0,4,0.25,0.0
demand_side,3,ACDC,2022Q2,1,2.0,2.0,4,0.25,0.5
demand_side,3,AESI,2021Q3,1,0.0,0.0,13,0.07692307692307693,0.0
demand_side,3,APA,2005Q2,1,0.0,0.0,1,1.0,0.0
demand_side,3,APA,2010Q3,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,APA,2013Q1,1,0.0,0.0,1,1.0,0.0
demand_side,3,APA,2017Q1,1,0.0,0.0,2,0.5,0.0
demand_side,3,APA,2018Q4,1,-1.0,-1.0,3,0.3333333333333333,-0.3333333333333333
demand_side,3,APA,2019Q2,1,0.0,0.0,2,0.5,0.0
demand_side,3,APA,2020Q4,1,0.0,0.0,1,1.0,0.0
demand_side,3,APA,2021Q3,3,0.0,0.0,13,0.23076923076923078,0.0
demand_side,3,APA,2021Q4,1,0.0,0.0,4,0.25,0.0
demand_side,3,APA,2022Q2,3,0.0,0.0,4,0.75,0.0
demand_side,3,APA,2024Q2,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,AR,2011Q2,1,0.0,0.0,1,1.0,0.0
demand_side,3,AR,2016Q3,2,0.0,0.0,4,0.5,0.0
demand_side,3,AR,2017Q3,2,0.0,0.0,4,0.5,0.0
demand_side,3,AR,2018Q1,1,0.0,0.0,1,1.0,0.0
demand_side,3,AR,2019Q1,1,0.0,0.0,2,0.5,0.0
demand_side,3,AR,2019Q2,1,0.0,0.0,2,0.5,0.0
demand_side,3,AR,2019Q3,1,0.0,0.0,5,0.2,0.0
demand_side,3,AR,2020Q1,1,0.0,0.0,6,0.16666666666666666,0.0
demand_side,3,AR,2021Q3,1,0.0,0.0,13,0.07692307692307693,0.0
demand_side,3,AR,2021Q4,1,0.0,0.0,4,0.25,0.0
demand_side,3,BATL,2024Q3,1,-1.0,-1.0,4,0.25,-0.25
demand_side,3,CLB,1999Q1,1,0.0,0.0,1,1.0,0.0
demand_side,3,CPE,2016Q4,1,0.0,0.0,1,1.0,0.0
demand_side,3,CPE,2020Q2,2,-1.0,-2.0,8,0.25,-0.5
demand_side,3,CRC,2016Q3,1,0.0,0.0,4,0.25,0.0
demand_side,3,CRC,2018Q2,1,0.0,0.0,6,0.16666666666666666,0.0
demand_side,3,CRC,2020Q1,1,0.0,0.0,6,0.16666666666666666,0.0
demand_side,3,DCP,2017Q1,1,0.0,0.0,2,0.5,0.0
demand_side,3,DCP,2024Q3,1,2.0,2.0,4,0.25,0.5
demand_side,3,EP,2024Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,EQT,2001Q2,1,0.0,0.0,1,1.0,0.0
demand_side,3,EQT,2016Q1,1,0.0,0.0,1,1.0,0.0
demand_side,3,EQT,2017Q3,1,0.0,0.0,4,0.25,0.0
demand_side,3,EQT,2018Q4,1,0.0,0.0,3,0.3333333333333333,0.0
demand_side,3,EQT,2019Q3,1,0.0,0.0,5,0.2,0.0
demand_side,3,EQT,2021Q3,1,0.0,0.0,13,0.07692307692307693,0.0
demand_side,3,EQT,2021Q4,1,0.0,0.0,4,0.25,0.0
demand_side,3,EQT,2023Q4,3,0.0,0.0,5,0.6,0.0
