date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor
2020-05-11,Thomson_Reuters,4,0,3,0,0,1
2020-04-02,Thomson_Reuters,1,3,1,0,0,1
2020-09-29,Thomson_Reuters,1,0,2,0,0,1
2020-07-17,Thomson_Reuters,2,0,1,0,0,2
2020-03-30,Thomson_Reuters,1,0,5,0,0,1
2020-04-01,Thomson_Reuters,0,0,1,0,0,1
2020-05-11,Thomson_Reuters,2,0,4,0,0,1
2020-10-01,Thomson_Reuters,1,1,2,0,0,1
2020-04-21,Thomson_Reuters,0,1,1,0,0,1
2020-09-01,Thomson_Reuters,1,0,1,0,0,1
2020-08-28,Thomson_Reuters,1,0,2,0,0,1
2020-04-17,Thomson_Reuters,1,0,1,0,0,2
2019-03-16,Thomson_Reuters,1,0,2,0,0,1
2016-07-14,Thomson_Reuters,1,0,0,0,0,1
2015-10-16,Thomson_Reuters,1,0,0,0,0,1
2019-04-02,Thomson_Reuters,1,0,1,0,0,1
2019-03-17,Thomson_Reuters,1,0,2,0,0,1
2017-04-13,Thomson_Reuters,0,0,1,0,0,1
2015-03-09,Thomson_Reuters,0,0,0,0,0,1
2017-11-08,Thomson_Reuters,0,0,0,0,0,1
2016-08-17,Thomson_Reuters,1,0,0,0,1,1
2015-03-24,Thomson_Reuters,0,0,1,0,0,1
2019-10-14,Thomson_Reuters,1,0,0,0,0,1
2014-02-26,Thomson_Reuters,0,0,0,0,0,1
2019-10-14,Thomson_Reuters,0,0,0,0,0,1
2015-03-09,Thomson_Reuters,0,0,2,0,0,1
2018-02-22,Thomson_Reuters,0,0,1,0,0,1
2015-03-09,Thomson_Reuters,0,0,2,0,0,1
2019-09-16,Thomson_Reuters,0,0,1,0,0,1
2015-03-24,Thomson_Reuters,0,0,3,0,0,1
2019-10-28,Thomson_Reuters,2,0,0,0,0,2
2015-03-09,Thomson_Reuters,0,0,1,0,0,1
2018-01-31,Thomson_Reuters,1,0,0,0,0,1
2015-03-09,Thomson_Reuters,0,0,1,0,0,1
2015-03-09,Thomson_Reuters,0,0,2,0,0,1
2015-03-07,Thomson_Reuters,1,0,0,0,0,1
2015-03-13,Thomson_Reuters,1,0,0,0,0,1
2017-06-22,Thomson_Reuters,3,0,1,0,0,1
2017-04-13,Thomson_Reuters,0,0,1,0,0,1
2015-03-24,Thomson_Reuters,0,0,2,0,0,1
2013-11-11,Thomson_Reuters,2,0,0,0,0,1
2014-11-05,Thomson_Reuters,1,0,0,0,0,1
2015-03-24,Thomson_Reuters,0,0,2,0,0,1
2019-03-15,Thomson_Reuters,1,0,2,0,0,1
2015-03-24,Thomson_Reuters,0,0,2,0,0,1
2019-04-04,Thomson_Reuters,1,0,1,0,0,1
2015-03-09,Thomson_Reuters,0,0,0,0,0,1
2018-06-14,Thomson_Reuters,2,0,1,0,0,1
2015-03-24,Thomson_Reuters,0,0,0,0,0,1
2015-03-27,Thomson_Reuters,1,0,0,0,0,1
2014-12-08,Thomson_Reuters,0,0,0,0,0,1
2018-06-14,Thomson_Reuters,2,0,1,0,0,1
2014-12-03,Thomson_Reuters,0,0,0,0,0,1
2016-05-16,Thomson_Reuters,2,0,1,0,0,2
2020-01-03,Thomson_Reuters,1,0,1,0,0,1
2020-10-05,Channel_News_Asia,1,1,2,0,0,1
2020-10-05,Thomson_Reuters,1,1,2,0,0,1
2020-11-02,Thomson_Reuters,1,1,2,0,0,1
2020-10-21,Channel_News_Asia,1,0,2,0,0,1
2020-10-21,Thomson_Reuters,1,0,3,0,0,1
2020-01-02,Thomson_Reuters,1,0,1,0,0,1
2020-11-03,Thomson_Reuters,2,0,1,0,0,1
2020-04-05,The_Wall_Street_Journal,2,2,1,0,0,3
2020-04-01,The_Wall_Street_Journal,3,0,1,0,0,2
2020-02-03,The_Wall_Street_Journal,1,0,6,0,0,2
2020-02-29,The_Wall_Street_Journal,2,0,1,0,0,1
2020-03-11,Financial_Times,1,0,6,1,0,1
2020-04-15,The_Wall_Street_Journal,1,0,1,0,0,1
2020-06-12,The_Wall_Street_Journal,0,0,1,0,0,2
2020-04-07,The_Wall_Street_Journal,2,0,1,0,0,1
2000-03-21,The_Wall_Street_Journal,0,0,0,0,0,1
2003-11-21,The_Wall_Street_Journal,0,0,0,0,0,1
2015-03-06,The_Wall_Street_Journal,1,0,1,0,0,1
2000-12-08,The_Wall_Street_Journal,0,0,0,0,0,1
2001-04-24,The_Wall_Street_Journal,0,0,0,0,0,1
2000-12-29,The_Wall_Street_Journal,0,0,0,0,0,1
2018-12-04,The_Wall_Street_Journal,2,1,0,0,0,1
2001-04-19,The_Wall_Street_Journal,0,0,0,0,0,1
1999-10-01,The_Wall_Street_Journal,0,0,0,0,0,1
2019-01-31,The_Wall_Street_Journal,0,0,0,1,0,1
2001-07-11,The_Wall_Street_Journal,0,0,0,0,0,1
2000-12-19,The_Wall_Street_Journal,0,0,0,0,0,1
2014-10-09,The_Wall_Street_Journal,5,2,1,0,0,1
2001-05-03,The_Wall_Street_Journal,0,0,0,1,0,1
2014-07-13,The_Wall_Street_Journal,1,0,0,0,0,1
2001-02-23,The_Wall_Street_Journal,3,0,0,1,0,2
2004-03-07,The_Wall_Street_Journal,0,0,1,0,0,1
2004-03-10,The_Wall_Street_Journal,0,0,1,0,0,1
2004-03-05,The_Wall_Street_Journal,0,0,2,0,0,1
2001-06-28,The_Wall_Street_Journal,0,0,0,0,0,1
2001-06-14,The_Wall_Street_Journal,0,0,0,0,0,1
2015-09-30,The_Wall_Street_Journal,0,0,0,0,0,1
2015-05-13,The_Wall_Street_Journal,6,0,0,0,0,2
2015-12-18,The_Wall_Street_Journal,0,0,1,0,0,1
2019-12-29,The_Wall_Street_Journal,2,0,1,0,0,1
2001-01-26,The_Wall_Street_Journal,0,0,0,0,0,1
1999-09-28,The_Wall_Street_Journal,1,0,0,0,0,1
2015-08-06,The_Wall_Street_Journal,3,0,0,0,0,1
2010-08-18,The_Wall_Street_Journal,0,0,0,0,0,1
2003-11-23,The_Wall_Street_Journal,0,0,0,0,0,1
2015-04-29,The_Wall_Street_Journal,2,0,0,0,0,1
2015-09-22,The_Wall_Street_Journal,0,0,0,0,0,1
2001-02-01,The_Wall_Street_Journal,0,0,0,0,0,1
2001-01-17,The_Wall_Street_Journal,0,0,0,0,0,1
2016-02-09,The_Wall_Street_Journal,0,0,1,0,0,1
2001-01-09,The_Wall_Street_Journal,0,0,0,0,0,1
1999-09-28,The_Wall_Street_Journal,0,0,0,0,0,1
2015-03-25,The_Wall_Street_Journal,0,0,0,0,0,1
2023-05-12,Thomson_Reuters,1,0,1,0,0,2
2021-11-04,Thomson_Reuters,1,0,1,0,0,1
2021-08-11,Thomson_Reuters,1,0,2,0,0,1
2021-11-04,Thomson_Reuters,1,0,1,0,0,1
2021-09-08,Thomson_Reuters,2,0,1,0,0,2
2021-08-11,Thomson_Reuters,1,0,2,0,0,1
