date,source,supply_side,demand_side,financial_risk,geopolitical_risk,esg_regulation,natural_factor,topic_0_prob,topic_1_prob,topic_2_prob,topic_3_prob,topic_4_prob,dominant_LDA_topic,dominant_dictionary_topic
2024-07-31,seekingalpha,1,0,1,0,2,1,0.11371155,0.0,0.16496535,0.5980462,0.123217285,3,esg_regulation
2024-10-29,benzinga,1,0,0,0,0,1,0.064792655,0.0,0.0,0.9062517,0.028692337,3,supply_side
2024-10-25,benzinga,0,0,1,0,0,1,0.06851292,0.0,0.0,0.9310856,0.0,3,financial_risk
2024-11-27,benzinga,0,0,1,0,0,1,0.12970741,0.0,0.08934813,0.77146834,0.0,3,financial_risk
2024-10-01,benzinga,0,0,0,0,0,1,0.05724224,0.0,0.08274821,0.83565027,0.024273776,3,natural_factor
2024-08-10,investorplace,0,0,3,0,0,1,0.08794216,0.0,0.06856416,0.7568262,0.08659775,3,financial_risk
2024-08-20,seekingalpha,3,0,6,0,0,1,0.26053837,0.0,0.035581794,0.7037943,0.0,3,financial_risk
2024-08-18,seekingalpha,0,0,1,0,0,2,0.40445936,0.0,0.035308793,0.5513303,0.0,3,natural_factor
2024-10-01,benzinga,0,0,1,0,0,1,0.11078827,0.0,0.06664221,0.82238513,0.0,3,financial_risk
2024-09-10,benzinga,1,0,0,0,0,1,0.0,0.0,0.3630798,0.6363508,0.0,3,supply_side
2024-11-27,cision,0,0,1,0,0,1,0.09732476,0.0,0.82266253,0.07974696,0.0,2,financial_risk
2024-09-10,globenewswire_fr,1,0,0,0,0,1,0.0,0.0,0.34905747,0.6503527,0.0,3,supply_side
2024-08-22,globenewswire_fr,1,0,3,0,2,2,0.22893031,0.0,0.26586148,0.4001929,0.10500296,3,financial_risk
2024-08-20,oilprice,3,0,0,0,0,2,0.048435874,0.0,0.21653804,0.59852165,0.13216269,3,supply_side
2024-09-17,oilprice,2,1,1,0,0,2,0.0,0.0,0.31814668,0.5863908,0.08876265,3,supply_side
